,subway,totalPrice,unitPrice,houseName,room_counts,area,direction,else1,else2,elevator,position,address
0,无,133万,单价19923元/平米,万基兰御  , 2室1厅 , 66.76平米 , 东 , 其他,,,中楼层(共18层)2013年建板楼  ,  金府
1,无,82万,单价10259元/平米,蛟龙银座  , 2室1厅 , 79.93平米 , 西 , 其他,,,低楼层(共17层)板楼  ,  蛟龙港
2,距离2号线人民公园站195米,145万,单价20089元/平米,将军街47号  , 2室1厅 , 72.18平米 , 南 , 其他,,,低楼层(共7层)2002年建板塔结合  ,  宽窄巷子
3,距离7号线东坡路站315米,360万,单价24144元/平米,中华家园西区  , 3室2厅 , 149.11平米 , 南 , 其他,,,低楼层(共6层)2004年建板楼  ,  西南财大
4,无,115万,单价13699元/平米,汇融悉尼湾达令港  , 3室2厅 , 83.95平米 , 西 , 其他,,,低楼层(共29层)2013年建塔楼  ,  大丰
5,无,90万,单价12511元/平米,公园1号  , 3室2厅 , 71.94平米 , 西北 , 其他,,,低楼层(共25层)2016年建塔楼  ,  红光
6,无,137.5万,单价15805元/平米,保利玫瑰花语  , 3室2厅 , 87平米 , 西 , 其他,,,低楼层(共32层)2016年建板楼  ,  大面
7,无,126万,单价18634元/平米,锦绣东方一期  , 2室1厅 , 67.62平米 , 东 , 简装,,,低楼层(共33层)2008年建塔楼  ,  万象城
8,无,145万,单价14365元/平米,温哥华花园六期  , 3室2厅 , 100.94平米 , 南 , 其他 , 有电梯,,中楼层(共16层)2013年建塔楼  ,  航空港
9,距离1号线火车南站站256米,229万,单价18984元/平米,都会路苑  , 3室2厅 , 120.63平米 , 北 , 其他,,,中楼层(共18层)2010年建塔楼  ,  城南宜家
10,距离1号线世纪城站260米,142万,单价22164元/平米,天鹅湖北苑  , 2室1厅 , 64.07平米 , 南 , 其他,,,中楼层(共31层)2007年建板塔结合  ,  新会展
11,距离4号线文化宫站481米,146万,单价18083元/平米,光华馨地  , 2室1厅 , 80.74平米 , 北 , 其他,,,高楼层(共11层)2006年建塔楼  ,  西南财大
12,距离1号线桐梓林站699米,200万,单价20726元/平米,名士公馆  , 2室2厅 , 96.5平米 , 西北 , 简装,,,中楼层(共11层)2003年建板楼  ,  航空路
13,无,165万,单价17712元/平米,保利叶语  , 3室2厅 , 93.16平米 , 南 , 其他,,,低楼层(共27层)2015年建板塔结合  ,  华府
14,无,87万,单价15189元/平米,映日荷花  , 2室1厅 , 57.28平米 , 西 , 其他,,,中楼层(共23层)2009年建塔楼  ,  五块石
15,距离7号线茶店子站128米,98万,单价18789元/平米,西城公馆  , 2室1厅 , 52.16平米 , 东 , 其他,,,中楼层(共30层)2009年建塔楼  ,  茶店子
16,无,122万,单价13708元/平米,万景峰一期  , 3室2厅 , 89平米 , 西南 , 其他,,,低楼层(共33层)2012年建板楼  ,  高新西
17,距离3号线高升桥站778米,98万,单价16087元/平米,新巢小区二期  , 1室1厅 , 60.92平米 , 东 , 简装 , 有电梯,,中楼层(共7层)2005年建板楼  ,  广福桥
18,距离4号线清江西路站1144米,192万,单价18508元/平米,印象金沙  , 3室2厅 , 103.74平米 , 西北 , 其他,,,中楼层(共11层)2007年建板塔结合  ,  金沙
19,距离4号线万盛站432米,128万,单价9588元/平米,海科名城  , 3室2厅 , 133.51平米 , 南 , 其他,,,高楼层(共11层)2011年建板楼  ,  温江大学城
20,无,167万,单价20374元/平米,海亮爱金沙  , 3室2厅 , 81.97平米 , 西北 , 毛坯,,,中楼层(共22层)2016年建塔楼  ,  外金沙
21,距离4号线凤凰大街站762米,110万,单价13287元/平米,合能珍宝琥珀  , 3室2厅 , 82.79平米 , 西 , 毛坯 , 有电梯,,高楼层(共34层)2014年建板塔结合  ,  光华大道沿线
22,距离4号线草堂北路站764米,120万,单价14635元/平米,光华苑一期  , 3室2厅 , 82平米 , 西南 , 其他,,,高楼层(共7层)2000年建板楼  ,  草堂
23,无,180万,单价9568元/平米,亲河名居C区  , 4室3厅 , 188.13平米 , 东南 , 其他,,,高楼层(共6层)板楼  ,  大丰
24,无,150万,单价20628元/平米,恒大名都  , 2室2厅 , 72.72平米 , 东南 , 其他 , 有电梯,,低楼层(共31层)2012年建板楼  ,  海洋公园
25,无,160万,单价10458元/平米,惠丰丽城  , 3室2厅 , 153平米 , 南 , 精装 , 有电梯,,高楼层(共11层)板塔结合  ,  犀浦
26,无,154万,单价9061元/平米,亲河名居C区  , 5室2厅 , 169.97平米 , 西南 , 简装,,,高楼层(共6层)板楼  ,  大丰
27,无,139万,单价8798元/平米,藏卫路南一段6号  , 4室2厅 , 158平米 , 东南 , 其他,,,低楼层(共6层)暂无数据  ,  东升镇
28,无,320万,单价19338元/平米,南湖国际社区  , 4室2厅 , 165.48平米 , 东南 , 其他 , 有电梯,,高楼层(共34层)2010年建板楼  ,  南湖
29,无,140万,单价10258元/平米,弘民新城C区  , 3室2厅 , 136.49平米 , 东南 , 其他,,,中楼层(共6层)暂无数据  ,  东升镇
31,无,220万,单价19501元/平米,蓝光圣菲town城  , 3室2厅 , 112.82平米 , 东北 , 其他 , 有电梯,,高楼层(共18层)2009年建塔楼  ,  航空港
32,无,195万,单价23001元/平米,锦蓉佳苑  , 2室1厅 , 84.78平米 , 东南 , 其他 , 有电梯,,中楼层(共32层)2014年建板塔结合  ,  三圣乡
33,无,160万,单价17966元/平米,红枫岭二期  , 2室2厅 , 89.06平米 , 东北 , 其他,,,高楼层(共33层)2009年建板塔结合  ,  东郊记忆
34,无,240万,单价38248元/平米,建发天府鹭洲  , 2室2厅 , 62.75平米 , 西 , 精装,,,低楼层(共29层)2012年建板塔结合  ,  大源
35,无,215万,单价23993元/平米,南城都汇汇智园二期  , 2室2厅 , 89.61平米 , 南 , 其他 , 有电梯,,中楼层(共18层)2010年建板塔结合  ,  市一医院
36,无,145万,单价17953元/平米,香木林花园  , 2室2厅 , 80.77平米 , 南 , 其他,,,中楼层(共6层)2002年建板楼  ,  八里小区
37,距离4号线中坝站621米,130万,单价20834元/平米,金阳易诚国际  , 2室1厅 , 62.4平米 , 西 , 其他,,,中楼层(共20层)2010年建塔楼  ,  外光华
38,距离1号线倪家桥站1073米,111.5万,单价14072元/平米,玉林南路36号  , 3室1厅 , 79.24平米 , 东南 , 其他,,,低楼层(共7层)1997年建板楼  ,  芳草
39,距离3号线昭觉寺南路站586米,135万,单价16303元/平米,兴元华盛三期  , 2室1厅 , 82.81平米 , 东南 , 其他,,,低楼层(共18层)2010年建板塔结合  ,  驷马桥
40,无,102万,单价12424元/平米,芙蓉名城三期  , 2室2厅 , 82.1平米 , 北 , 其他 , 有电梯,,高楼层(共18层)2012年建板楼  ,  新都城区
41,无,128万,单价18551元/平米,南桥春天  , 2室2厅 , 69平米 , 东 , 其他 , 有电梯,,中楼层(共18层)2010年建板塔结合  ,  中和
42,距离3号线昭觉寺南路站624米,175万,单价20777元/平米,香澜半岛  , 2室2厅 , 84.23平米 , 东南 , 其他,,,高楼层(共21层)2016年建板塔结合  ,  驷马桥
43,距离7号线狮子山站1056米,185万,单价28349元/平米,万科金润华府  , 2室1厅 , 65.26平米 , 西南 , 其他,,,中楼层(共35层)2012年建塔楼  ,  沙河堡
44,无,92万,单价9240元/平米,丽景欣城  , 3室2厅 , 99.57平米 , 东 , 其他,,,高楼层(共5层)2005年建板楼  ,  温江老城
45,无,125万,单价14342元/平米,和贵久居福  , 2室1厅 , 87.16平米 , 南 , 其他,,,低楼层(共18层)2008年建板塔结合  ,  航空港
46,无,150万,单价16656元/平米,世茂城一期  , 2室1厅 , 90.06平米 , 南 , 其他,,,中楼层(共29层)2012年建板塔结合  ,  大面
47,无,208万,单价16693元/平米,金桂花园  , 3室2厅 , 124.61平米 , 南 , 其他,,,低楼层(共7层)2002年建暂无数据  ,  中和
48,无,155万,单价17513元/平米,置信清水湾  , 3室1厅 , 88.51平米 , 东 , 其他 , 有电梯,,中楼层(共26层)2010年建板楼  ,  万家湾
49,距离3号线衣冠庙站1069米,226万,单价17967元/平米,名人苑  , 3室2厅 , 125.79平米 , 南 北 , 其他,,,低楼层(共7层)2002年建板楼  ,  芳草
50,无,210万,单价15501元/平米,恒大绿洲  , 4室2厅 , 135.48平米 , 东南 , 其他,,,中楼层(共32层)2011年建板塔结合  ,  大面
51,无,85万,单价14548元/平米,文华路7号  , 2室1厅 , 58.43平米 , 南 北 , 其他,,,低楼层(共6层)板楼  ,  石人小区
52,距离2号线惠王陵站1083米,127万,单价17885元/平米,东洪广厦  , 2室2厅 , 71.01平米 , 西北 , 其他,,,低楼层(共32层)2013年建板楼  ,  三圣乡
53,无,128万,单价19159元/平米,锦绣东方一期  , 2室1厅 , 66.81平米 , 东 , 其他 , 有电梯,,低楼层(共33层)2008年建塔楼  ,  万象城
54,无,120万,单价12578元/平米,金座蓉城胜景  , 3室2厅 , 95.41平米 , 东南 , 其他,,,低楼层(共15层)2014年建暂无数据  ,  东升镇
55,距离1号线文殊院站662米,130万,单价20367元/平米,守经街6号  , 2室1厅 , 63.83平米 , 南 , 其他,,,中楼层(共6层)暂无数据  ,  八宝街
56,无,210万,单价25048元/平米,万科金域蓝湾一期  , 2室1厅 , 83.84平米 , 东 , 精装,,,低楼层(共35层)2009年建板楼  ,  建设路
57,无,160万,单价26526元/平米,万科海悦汇城西区  , 2室1厅 , 60.32平米 , 南 西 , 其他,,,低楼层(共35层)2015年建板楼  ,  海洋公园
58,无,135万,单价17953元/平米,华宜上锦  , 2室1厅 , 75.2平米 , 西南 , 其他,,,中楼层(共26层)2014年建板楼  ,  警院
59,无,70万,单价16892元/平米,楠极地  , 1室1厅 , 41.44平米 , 南 , 其他 , 有电梯,,中楼层(共12层)2004年建板塔结合  ,  双楠
60,距离3号线昭觉寺南路站893米,150万,单价19109元/平米,华宇阳光水岸  , 2室2厅 , 78.5平米 , 东南 , 其他,,,低楼层(共21层)2010年建板塔结合  ,  驷马桥
62,距离4号线万年场站站258米,220万,单价29428元/平米,华润二十四城二期  , 3室1厅 , 74.76平米 , 西南 , 精装,,,低楼层(共32层)2010年建塔楼  ,  万象城
63,距离4号线太升南路站1095米,200万,单价21622元/平米,东珠美地  , 2室1厅 , 92.5平米 , 北 , 其他,,,低楼层(共18层)2002年建板楼  ,  草市街
64,无,218万,单价24309元/平米,南城都汇汇馨园三期  , 2室2厅 , 89.68平米 , 南 , 精装,,,中楼层(共18层)2012年建板塔结合  ,  市一医院
65,无,368万,单价24698元/平米,翠微清波A区  , 4室2厅 , 149平米 , 东南 , 精装,,,高楼层(共18层)2008年建板塔结合  ,  外金沙
66,无,145万,单价16485元/平米,恒大绿洲  , 3室2厅 , 87.96平米 , 东 , 其他,,,低楼层(共32层)2011年建板塔结合  ,  大面
67,无,143万,单价15163元/平米,兴元嘉园  , 3室2厅 , 94.31平米 , 东南 , 精装,,,低楼层(共10层)2005年建板楼  ,  武侯立交
68,无,220万,单价25146元/平米,卓锦城五期  , 3室2厅 , 87.49平米 , 西南 , 其他,,,高楼层(共33层)2012年建塔楼  ,  卓锦城
69,距离3号线昭觉寺南路站1099米,152万,单价18598元/平米,沙河路苑  , 2室2厅 , 81.73平米 , 东南 西南 , 其他,,,低楼层(共18层)2011年建塔楼  ,  驷马桥
70,距离7号线琉璃场站567米,115万,单价17813元/平米,香江花园  , 2室1厅 , 64.56平米 , 南 , 简装 , 无电梯,,中楼层(共6层)2003年建板楼  ,  东光小区
71,距离1号线火车北站站1080米,170万,单价14122元/平米,蓝光富丽城  , 3室2厅 , 120.38平米 , 南 北 , 其他,,,低楼层(共18层)2005年建板楼  ,  金牛万达
72,无,75万,单价8580元/平米,红树林  , 2室2厅 , 87.42平米 , 东南 , 其他,,,中楼层(共6层)2014年建板楼  ,  新都城区
73,距离1号线火车南站站759米,580万,单价30221元/平米,桐梓林欧城  , 4室2厅 , 191.92平米 , 东 , 精装,,,中楼层(共21层)2009年建塔楼  ,  桐梓林
74,无,169万,单价21089元/平米,慕和南道  , 2室2厅 , 80.14平米 , 北 , 其他,,,中楼层(共32层)2010年建板塔结合  ,  华阳
75,距离2号线天河路站793米,120万,单价15192元/平米,西区花园晨之曦  , 2室2厅 , 78.99平米 , 东南 , 精装,,,低楼层(共6层)2004年建板楼  ,  犀浦
76,无,140万,单价14478元/平米,上优水岸  , 3室1厅 , 96.7平米 , 南 , 精装,,,高楼层(共6层)2006年建板楼  ,  航空港
77,无,110万,单价18030元/平米,石化家园  , 1室1厅 , 61.01平米 , 西 , 其他,,,中楼层(共33层)2011年建板塔结合  ,  南湖
78,无,100万,单价12746元/平米,中信未来城北区  , 2室1厅 , 78.46平米 , 东北 , 其他 , 有电梯,,低楼层(共33层)2013年建塔楼  ,  郫县城区
79,距离3号线红牌楼站457米,128万,单价19048元/平米,优地B区  , 2室1厅 , 67.2平米 , 东 东南 , 其他,,,高楼层(共17层)2007年建板楼  ,  丽都
80,无,375万,单价32944元/平米,保利心语花园二期  , 3室2厅 , 113.83平米 , 东 , 其他,,,低楼层(共32层)2012年建板塔结合  ,  大源
81,距离1号线广都站280米,240万,单价18898元/平米,城南名著  , 3室1厅 , 127平米 , 北 , 其他,,,低楼层(共18层)2007年建板楼  ,  广都
82,无,145万,单价25430元/平米,万科海悦汇城西区  , 2室2厅 , 57.02平米 , 西南 西北 , 精装,,,高楼层(共35层)2015年建板楼  ,  海洋公园
83,无,90万,单价11570元/平米,博雅新城C区  , 2室2厅 , 77.79平米 , 西 , 精装,,,高楼层(共27层)2013年建塔楼  ,  大丰
84,距离3号线昭觉寺南路站737米,144万,单价18460元/平米,华宇阳光水岸  , 2室1厅 , 78.01平米 , 西北 , 简装,,,高楼层(共21层)2010年建板塔结合  ,  驷马桥
85,距离3号线李家沱站948米,160万,单价25551元/平米,富丽碧蔓汀  , 2室1厅 , 62.62平米 , 北 , 其他 , 有电梯,,中楼层(共26层)2009年建板楼  ,  金牛万达
86,无,268万,单价29745元/平米,华润凤凰城一期  , 2室2厅 , 90.1平米 , 东 , 其他,,,高楼层(共27层)2013年建板塔结合  ,  大源
87,距离3号线昭觉寺南路站910米,133万,单价16216元/平米,北回归线一期  , 2室2厅 , 82.02平米 , 南 , 其他,,,高楼层(共22层)2009年建板塔结合  ,  驷马桥
88,无,120万,单价12644元/平米,成南领寓  , 3室1厅 , 94.91平米 , 西南 , 其他,,,中楼层(共31层)板楼  ,  南湖
89,距离4号线双桥路站674米,212万,单价24133元/平米,花样年花郡  , 2室2厅 , 87.85平米 , 北 , 精装,,,高楼层(共24层)2008年建板塔结合  ,  万象城
90,无,140.5万,单价17212元/平米,首创万卷山  , 3室2厅 , 81.63平米 , 东北 , 其他,,,中楼层(共34层)2013年建塔楼  ,  大面
91,无,185万,单价19275元/平米,凯华丽景  , 3室2厅 , 95.98平米 , 南 , 其他,,,低楼层(共20层)2009年建板塔结合  ,  四河
93,距离4号线清江西路站739米,350万,单价43030元/平米,金沙鹭岛二期  , 2室1厅 , 81.34平米 , 东南 , 其他,,,高楼层(共26层)2012年建板楼  ,  金沙
94,距离1号线桐梓林站181米,150万,单价15655元/平米,曼哈顿一期  , 2室2厅 , 95.82平米 , 南 , 其他 , 有电梯,,低楼层(共14层)2003年建板塔结合  ,  航空路
95,无,170万,单价12001元/平米,山水四季城  , 3室2厅 , 141.66平米 , 东南 , 毛坯 , 有电梯,,低楼层(共11层)2015年建板塔结合  ,  龙泉驿城区
96,距离2号线犀浦站332米,126万,单价13911元/平米,万树森林一期  , 2室2厅 , 90.58平米 , 东北 , 其他 , 有电梯,,低楼层(共11层)2008年建板楼  ,  犀浦
97,距离4号线凤凰大街站527米,140万,单价11681元/平米,建信奥林匹克花园  , 3室2厅 , 119.86平米 , 南 , 精装 , 有电梯,,中楼层(共6层)2006年建板塔结合  ,  光华大道沿线
98,无,122万,单价15857元/平米,蓝光圣菲town城  , 2室2厅 , 76.94平米 , 北 , 其他 , 有电梯,,高楼层(共23层)2009年建塔楼  ,  航空港
99,无,136万,单价15021元/平米,兴元绿洲一期  , 2室1厅 , 90.54平米 , 北 , 其他 , 有电梯,,高楼层(共22层)2007年建塔楼  ,  金府
100,无,256万,单价21790元/平米,蜀郡  , 3室2厅 , 117.49平米 , 南 北 , 精装,,,高楼层(共18层)2010年建塔楼  ,  华阳
101,无,330万,单价23152元/平米,恒大绿洲  , 4室2厅 , 142.54平米 , 南 , 精装 , 有电梯,,高楼层(共11层)2011年建板塔结合  ,  大面
102,距离3号线动物园站683米,115万,单价16313元/平米,荆竹苑  , 2室2厅 , 70.5平米 , 北 , 其他,,,高楼层(共18层)暂无数据  ,  驷马桥
103,无,118万,单价12276元/平米,居家福地  , 3室2厅 , 96.13平米 , 东南 , 其他,,,低楼层(共6层)板楼  ,  龙潭寺
104,无,160万,单价13741元/平米,和贵久居福  , 3室2厅 , 116.44平米 , 北 , 精装,,,高楼层(共18层)2008年建板塔结合  ,  航空港
105,距离7号线东坡路站1005米,820万,单价33923元/平米,优品道央作  , 5室2厅 , 241.73平米 , 南 , 精装 , 有电梯,,高楼层(共22层)板楼  ,  优品道
106,无,1200万,单价48294元/平米,中海城南一号二期  , 4室1厅 , 248.48平米 , 南 北 , 其他,,,中楼层(共26层)2012年建板塔结合  ,  金融城
107,距离7号线二仙桥站1178米,145万,单价16826元/平米,红枫岭二期  , 2室2厅 , 86.18平米 , 东南 , 其他 , 有电梯,,高楼层(共33层)2009年建板塔结合  ,  东郊记忆
108,距离7号线崔家店站802米,139万,单价16948元/平米,阳光舜苑  , 2室2厅 , 82.02平米 , 西北 , 其他,,,高楼层(共27层)2011年建塔楼  ,  万年场
109,无,175万,单价15186元/平米,汉嘉国际  , 3室2厅 , 115.24平米 , 南 , 精装,,,低楼层(共32层)2018年建板塔结合  ,  新都城区
110,距离7号线神仙树站808米,230万,单价24833元/平米,中海名城一期  , 2室2厅 , 92.62平米 , 西北 , 其他,,,低楼层(共11层)2002年建板楼  ,  神仙树
111,距离4号线涌泉站635米,190万,单价15496元/平米,公园大道  , 3室2厅 , 122.62平米 , 北 , 精装 , 有电梯,,低楼层(共13层)2012年建板塔结合  ,  光华大道沿线
112,距离7号线龙爪堰站299米,135万,单价17231元/平米,龙安街2号  , 2室1厅 , 78.35平米 , 北 , 简装,,,中楼层(共6层)2000年建板楼  ,  外双楠
113,无,135万,单价11352元/平米,锦华苑  , 3室2厅 , 118.93平米 , 南 北 , 其他,,,高楼层(共6层)2004年建板楼  ,  南湖
114,无,265万,单价28520元/平米,龙湖三千里B区二期  , 3室2厅 , 92.92平米 , 东南 , 其他,,,中楼层(共33层)2009年建板楼  ,  SM广场
115,无,405万,单价29660元/平米,仁和春天国际花园  , 3室2厅 , 136.55平米 , 东北 , 其他,,,中楼层(共31层)2014年建板塔结合  ,  金融城
116,无,172万,单价14112元/平米,四季康城  , 4室2厅 , 121.89平米 , 南 , 其他 , 有电梯,,低楼层(共33层)2013年建板塔结合  ,  龙泉驿城区
117,无,168万,单价17970元/平米,上东阳光艾特公馆  , 3室2厅 , 93.49平米 , 东 , 精装,,,低楼层(共11层)2015年建板塔结合  ,  洪河
118,无,275万,单价18736元/平米,米兰香洲  , 3室2厅 , 146.78平米 , 西南 , 其他 , 有电梯,,低楼层(共18层)2007年建板楼  ,  外金沙
119,距离1号线四河站428米,155万,单价18313元/平米,御景台  , 2室2厅 , 84.64平米 , 南 , 其他 , 有电梯,,高楼层(共16层)2005年建板楼  ,  四河
120,无,260万,单价18877元/平米,城西公寓  , 3室2厅 , 137.74平米 , 东南 , 其他,,,高楼层(共7层)1998年建板楼  ,  花牌坊
121,距离4号线清江西路站464米,240万,单价27348元/平米,金沙西园四期  , 2室2厅 , 87.76平米 , 南 , 精装 , 有电梯,,中楼层(共26层)2009年建塔楼  ,  金沙
122,距离7号线大观站859米,285万,单价21233元/平米,比华利国际城一期  , 3室2厅 , 134.23平米 , 北 , 其他,,,低楼层(共32层)2008年建塔楼  ,  川师
124,无,135万,单价12316元/平米,翰林南城  , 3室2厅 , 109.62平米 , 东 , 其他,,,低楼层(共6层)2007年建板楼  ,  航空港
125,无,115万,单价9624元/平米,天邑宏御花园宏苑  , 3室2厅 , 119.5平米 , 南 , 其他,,,低楼层(共18层)2016年建塔楼  ,  橡树湾
126,无,80万,单价11046元/平米,御城  , 2室2厅 , 72.43平米 , 东北 , 其他,,,低楼层(共26层)2009年建塔楼  ,  新都城区
127,无,96万,单价16059元/平米,东城美地  , 2室2厅 , 59.78平米 , 西南 , 其他,,,低楼层(共34层)暂无数据  ,  蓝谷地
128,距离7号线龙爪堰站786米,115万,单价20211元/平米,晋源彩庭博派  , 2室1厅 , 56.9平米 , 南 , 其他 , 有电梯,,中楼层(共17层)2012年建板楼  ,  五大花园
129,距离3号线高升桥站735米,210万,单价21930元/平米,成都A区  , 3室1厅 , 95.76平米 , 东南 , 其他 , 有电梯,,中楼层(共19层)2011年建板塔结合  ,  高升桥
130,距离4号线万盛站1103米,100万,单价11921元/平米,中铁丽景书香  , 3室1厅 , 83.89平米 , 东 南 , 其他,,,低楼层(共23层)2016年建塔楼  ,  温江大学城
131,无,111万,单价12587元/平米,东山国际新城E区  , 2室2厅 , 88.19平米 , 东南 , 其他,,,中楼层(共18层)2009年建板塔结合  ,  东山
132,无,135万,单价16899元/平米,南阳盛世  , 2室1厅 , 79.89平米 , 西南 , 其他,,,高楼层(共28层)2011年建板塔结合  ,  南湖
133,距离2号线牛市口站1045米,120万,单价17810元/平米,莲花新一区  , 2室1厅 , 67.38平米 , 西北 , 其他 , 无电梯,,低楼层(共7层)2002年建板楼  ,  莲花
134,无,140万,单价19686元/平米,蓝润锦江春天  , 3室2厅 , 71.12平米 , 东南 , 其他,,,高楼层(共26层)2016年建板楼  ,  三圣乡
135,无,145万,单价18810元/平米,华都美林湾  , 2室2厅 , 77.09平米 , 东南 , 其他,,,中楼层(共11层)2012年建塔楼  ,  三圣乡
136,距离2号线东大路站345米,403万,单价37503元/平米,天誉南庭  , 3室2厅 , 107.46平米 , 南 , 其他,,,高楼层(共32层)2016年建塔楼  ,  攀成钢
137,无,107万,单价13049元/平米,中铁丽景书香  , 2室2厅 , 82平米 , 东 , 其他,,,中楼层(共33层)2016年建塔楼  ,  温江大学城
138,无,158万,单价23600元/平米,卓锦城六期  , 2室1厅 , 66.95平米 , 东南 , 其他 , 有电梯,,高楼层(共31层)2014年建板塔结合  ,  卓锦城
139,无,76万,单价9569元/平米,上河苑  , 3室2厅 , 79.43平米 , 东南 , 其他,,,低楼层(共18层)板楼  ,  郫县城区
140,距离1号线桐梓林站699米,200万,单价20726元/平米,名士公馆  , 2室2厅 , 96.5平米 , 西北 , 简装,,,中楼层(共11层)2003年建板楼  ,  航空路
141,距离7号线东坡路站315米,360万,单价24144元/平米,中华家园西区  , 3室2厅 , 149.11平米 , 南 , 其他,,,低楼层(共6层)2004年建板楼  ,  西南财大
142,无,122万,单价13708元/平米,万景峰一期  , 3室2厅 , 89平米 , 西南 , 其他,,,低楼层(共33层)2012年建板楼  ,  高新西
143,距离3号线高升桥站778米,98万,单价16087元/平米,新巢小区二期  , 1室1厅 , 60.92平米 , 东 , 简装 , 有电梯,,中楼层(共7层)2005年建板楼  ,  广福桥
144,距离3号线昭觉寺南路站666米,115万,单价15531元/平米,慧苑  , 2室1厅 , 74.05平米 , 西 北 , 其他,,,中楼层(共23层)2000年建板楼  ,  驷马桥
145,距离4号线凤溪河站150米,119万,单价14694元/平米,和信孔雀天成  , 2室2厅 , 80.99平米 , 东南 , 其他,,,低楼层(共33层)2015年建塔楼  ,  温江新城
146,无,99万,单价23594元/平米,城市物语  , 2室1厅 , 41.96平米 , 西 , 其他,,,中楼层(共10层)2003年建板楼  ,  贝森
147,无,126万,单价18634元/平米,锦绣东方一期  , 2室1厅 , 67.62平米 , 东 , 简装,,,低楼层(共33层)2008年建塔楼  ,  万象城
148,距离1号线火车南站站256米,229万,单价18984元/平米,都会路苑  , 3室2厅 , 120.63平米 , 北 , 其他,,,中楼层(共18层)2010年建塔楼  ,  城南宜家
149,无,145万,单价14365元/平米,温哥华花园六期  , 3室2厅 , 100.94平米 , 南 , 其他 , 有电梯,,中楼层(共16层)2013年建塔楼  ,  航空港
150,无,103万,单价12884元/平米,东山国际新城D区  , 2室2厅 , 79.95平米 , 西南 西北 , 简装,,,高楼层(共11层)2011年建板塔结合  ,  东山
151,无,127万,单价16076元/平米,天府逸家一期  , 3室1厅 , 79平米 , 南 北 , 其他,,,低楼层(共41层)2015年建板楼  ,  大面
152,无,165万,单价17712元/平米,保利叶语  , 3室2厅 , 93.16平米 , 南 , 其他,,,低楼层(共27层)2015年建板塔结合  ,  华府
153,无,78万,单价11855元/平米,左右  , 2室1厅 , 65.8平米 , 北 , 其他,,,高楼层(共25层)2010年建塔楼  ,  光华泡小
155,无,145万,单价25430元/平米,万科海悦汇城西区  , 2室2厅 , 57.02平米 , 西南 西北 , 精装,,,高楼层(共35层)2015年建板楼  ,  海洋公园
156,无,90万,单价11570元/平米,博雅新城C区  , 2室2厅 , 77.79平米 , 西 , 精装,,,高楼层(共27层)2013年建塔楼  ,  大丰
157,距离3号线昭觉寺南路站737米,144万,单价18460元/平米,华宇阳光水岸  , 2室1厅 , 78.01平米 , 西北 , 简装,,,高楼层(共21层)2010年建板塔结合  ,  驷马桥
158,无,375万,单价32944元/平米,保利心语花园二期  , 3室2厅 , 113.83平米 , 东 , 其他,,,低楼层(共32层)2012年建板塔结合  ,  大源
159,距离1号线广都站280米,240万,单价18898元/平米,城南名著  , 3室1厅 , 127平米 , 北 , 其他,,,低楼层(共18层)2007年建板楼  ,  广都
160,无,268万,单价29745元/平米,华润凤凰城一期  , 2室2厅 , 90.1平米 , 东 , 其他,,,高楼层(共27层)2013年建板塔结合  ,  大源
161,无,172万,单价21861元/平米,富丽东方  , 2室2厅 , 78.68平米 , 东 , 其他,,,中楼层(共33层)2008年建塔楼  ,  成渝立交
162,无,163万,单价18873元/平米,元益花园  , 2室2厅 , 86.37平米 , 南 , 其他 , 有电梯,,低楼层(共21层)2014年建板楼  ,  外光华
163,无,165万,单价16305元/平米,温哥华花园六期  , 3室2厅 , 101.2平米 , 东南 , 其他,,,高楼层(共16层)2013年建塔楼  ,  航空港
164,无,130万,单价10859元/平米,博雅新城B区  , 3室2厅 , 119.72平米 , 东南 , 其他,,,中楼层(共5层)2012年建板楼  ,  大丰
165,无,165万,单价20887元/平米,富丽东方  , 2室1厅 , 79平米 , 南 , 其他,,,中楼层(共33层)2008年建塔楼  ,  成渝立交
166,无,88万,单价11314元/平米,博雅新城A区  , 2室1厅 , 77.78平米 , 西南 , 其他,,,中楼层(共27层)2013年建板塔结合  ,  大丰
167,距离1号线四河站154米,177万,单价22522元/平米,南阳锦城晶品  , 2室1厅 , 78.59平米 , 西南 , 其他,,,低楼层(共24层)2012年建板楼  ,  四河
168,距离1号线四河站315米,185万,单价19275元/平米,凯华丽景  , 3室2厅 , 95.98平米 , 南 , 其他,,,低楼层(共20层)2009年建板塔结合  ,  四河
169,无,130万,单价17070元/平米,上道西城  , 2室2厅 , 76.16平米 , 西 , 精装 , 有电梯,,低楼层(共11层)2008年建板塔结合  ,  草金立交
170,无,110万,单价20195元/平米,锦江城市花园三期  , 2室2厅 , 54.47平米 , 西北 , 其他,,,中楼层(共34层)2011年建塔楼  ,  三圣乡
171,距离1号线四河站427米,208万,单价19411元/平米,大城际  , 3室1厅 , 107.16平米 , 西南 , 其他,,,高楼层(共32层)2009年建板塔结合  ,  广都
172,距离2号线塔子山公园站654米,102万,单价13362元/平米,五福苑  , 2室1厅 , 76.34平米 , 西南 , 其他,,,中楼层(共7层)1999年建板楼  ,  沙河堡
173,无,110万,单价18591元/平米,西西里一期  , 1室1厅 , 59.17平米 , 东南 , 其他,,,中楼层(共33层)2008年建板塔结合  ,  茶店子
