,subway,totalPrice,unitPrice,houseName,room_counts,area,direction,else1,else2,elevator,position,address
1642,无,285万,单价23535元/平米,熙岸  , 3室2厅 , 121.1平米 , 西南 , 其他 , 无电梯,,中楼层(共6层)2009年建板楼  ,  中海国际
1643,无,166万,单价13625元/平米,师大现代花园  , 3室2厅 , 121.84平米 , 西南 , 毛坯 , 有电梯,,高楼层(共32层)2013年建板楼  ,  大面
1644,无,70万,单价7960元/平米,杜鹃城  , 3室2厅 , 87.94平米 , 西南 , 其他,,,低楼层(共6层)2017年建板楼  ,  郫县城区
1646,距离1号线火车南站站256米,230万,单价20048元/平米,都会路苑  , 3室1厅 , 114.73平米 , 北 , 其他 , 有电梯,,中楼层(共18层)2010年建塔楼  ,  城南宜家
1647,距离4号线中坝站782米,385万,单价22964元/平米,凯德风尚  , 3室2厅 , 167.66平米 , 南 , 其他 , 有电梯,,中楼层(共18层)2012年建板楼  ,  外光华
1648,无,155万,单价12628元/平米,西班牙森林二期  , 3室1厅 , 122.75平米 , 北 , 其他 , 有电梯,,低楼层(共18层)2014年建板塔结合  ,  光华大道沿线
1649,无,320万,单价17214元/平米,名都苑  , 4室2厅 , 185.9平米 , 西南 , 其他,,,中楼层(共6层)2002年建板楼  ,  双楠
1650,距离2号线百草路站935米,155万,单价18104元/平米,保利香槟国际  , 2室2厅 , 85.62平米 , 南 西南 , 其他,,,低楼层(共16层)2013年建板楼  ,  中海国际
1651,距离1号线人民北路站701米,92万,单价16284元/平米,一环路北三段74号  , 3室1厅 , 56.5平米 , 东南 西北 , 其他 , 无电梯,,高楼层(共6层)板楼  ,  马鞍路
1652,无,185万,单价12700元/平米,凯莱丽景雅筑  , 4室2厅 , 145.67平米 , 南 北 , 其他 , 有电梯,,高楼层(共6层)2007年建板楼  ,  华阳
1653,无,165万,单价12055元/平米,东山国际新城H区一期  , 5室2厅 , 136.88平米 , 南 , 毛坯,,,低楼层(共18层)2015年建板塔结合  ,  东山
1654,距离2号线龙泉驿站120米,76万,单价9951元/平米,四川省电子产品监督检验所宿舍  , 3室1厅 , 76.38平米 , 东南 , 其他,,,低楼层(共6层)板楼  ,  龙泉驿城区
1655,无,170万,单价18479元/平米,泰和佳园  , 2室2厅 , 92平米 , 东 南 , 简装,,,低楼层(共18层)2006年建塔楼  ,  天府长城
1656,距离3号线昭觉寺南路站899米,162万,单价18681元/平米,上行锦绣  , 3室2厅 , 86.72平米 , 东南 , 其他 , 有电梯,,高楼层(共21层)2010年建塔楼  ,  驷马桥
1657,无,143万,单价10927元/平米,上风瑞庭  , 3室2厅 , 130.87平米 , 东南 西北 , 其他,,,高楼层(共18层)2012年建板楼  ,  光华大道沿线
1658,距离1号线世纪城站295米,355万,单价27586元/平米,成都棕榈泉国际中心  , 3室1厅 , 128.69平米 , 东 东北 , 其他,,,高楼层(共36层)2015年建板塔结合  ,  新会展
1659,无,146万,单价16284元/平米,正成艺墅洋房  , 3室1厅 , 89.66平米 , 西 , 其他,,,中楼层(共7层)2009年建板楼  ,  外光华
1660,无,140万,单价14669元/平米,万科五龙山九墅  , 2室1厅 , 95.44平米 , 西南 , 其他,,,低楼层(共21层)2013年建板塔结合  ,  毗河
1661,无,240万,单价20000元/平米,卓锦城一期  , 3室2厅 , 120平米 , 南 , 精装 , 无电梯,,中楼层(共6层)2006年建板塔结合  ,  卓锦城
1662,距离4号线万年场站站186米,235万,单价31439元/平米,华润二十四城二期  , 3室1厅 , 74.75平米 , 东北 , 简装 , 有电梯,,高楼层(共32层)2010年建塔楼  ,  万象城
1663,距离1号线华西坝站716米,177万,单价17269元/平米,南桥花苑  , 2室1厅 , 102.5平米 , 西 , 精装 , 有电梯,,高楼层(共15层)2000年建板楼  ,  华西
1664,距离4号线凤溪河站170米,120万,单价13105元/平米,和信孔雀天成  , 2室2厅 , 91.57平米 , 南 , 其他 , 有电梯,,高楼层(共33层)2015年建塔楼  ,  温江新城
1665,无,153万,单价12847元/平米,宗申流溪丽园  , 3室2厅 , 119.1平米 , 南 北 , 精装,,,低楼层(共6层)2007年建板楼  ,  航空港
1666,无,240万,单价18020元/平米,美城云庭  , 3室2厅 , 133.19平米 , 东 , 毛坯 , 有电梯,,低楼层(共32层)2014年建板塔结合  ,  警院
1667,无,290万,单价31183元/平米,龙湖三千城二期B区  , 3室2厅 , 93平米 , 南 , 其他 , 有电梯,,中楼层(共34层)2012年建板楼  ,  SM广场
1668,无,166万,单价13625元/平米,师大现代花园  , 3室2厅 , 121.84平米 , 西南 , 毛坯 , 有电梯,,高楼层(共32层)2013年建板楼  ,  大面
1669,距离1号线高新站826米,229万,单价25941元/平米,南城都汇汇尚园  , 2室2厅 , 88.28平米 , 南 , 其他 , 有电梯,,低楼层(共22层)2014年建塔楼  ,  市一医院
1670,距离7号线崔家店站183米,156万,单价17722元/平米,天空城  , 2室2厅 , 88.03平米 , 西南 , 简装 , 有电梯,,高楼层(共28层)2010年建板楼  ,  万年场
1671,距离4号线中坝站836米,135万,单价23932元/平米,保利香槟光华  , 2室1厅 , 56.41平米 , 西 , 其他 , 有电梯,,中楼层(共16层)2014年建板楼  ,  万家湾
1672,无,178万,单价14676元/平米,雅居乐花园  , 3室2厅 , 121.29平米 , 东北 , 其他 , 有电梯,,低楼层(共30层)2010年建板楼  ,  雅居乐
1673,无,70万,单价7960元/平米,杜鹃城  , 3室2厅 , 87.94平米 , 西南 , 其他,,,低楼层(共6层)2017年建板楼  ,  郫县城区
1674,距离1号线骡马市站795米,142万,单价21823元/平米,王家塘街101号  , 2室1厅 , 65.07平米 , 东南 , 其他,,,中楼层(共6层)板楼  ,  八宝街
1675,距离1号线桐梓林站585米,338万,单价20479元/平米,航空花园  , 4室2厅 , 165.05平米 , 东南 , 精装,,,中楼层(共25层)2003年建板楼  ,  航空路
1677,无,370万,单价20974元/平米,麓山国际茵特拉肯A  , 4室2厅 , 176.41平米 , 南 , 其他,,,高楼层(共18层)2016年建板塔结合  ,  麓山
1678,无,132万,单价16521元/平米,上池正街112号  , 3室1厅 , 79.9平米 , 南 , 毛坯,,,低楼层(共7层)1997年建板楼  ,  人民公园
1679,距离1号线华府大道站868米,238万,单价24124元/平米,远大都市风景二期  , 2室2厅 , 98.66平米 , 东 , 其他 , 有电梯,,高楼层(共11层)2005年建板楼  ,  远大
1680,无,440万,单价24038元/平米,龙湖世纪峰景  , 4室2厅 , 183.05平米 , 东南 , 精装 , 有电梯,,低楼层(共49层)2017年建板楼  ,  新会展
1681,无,196万,单价22978元/平米,南府锦  , 2室2厅 , 85.3平米 , 东南 , 其他 , 有电梯,,中楼层(共18层)2004年建板塔结合  ,  九眼桥
1682,距离7号线狮子山站1035米,182万,单价21631元/平米,沙河壹号二期  , 3室2厅 , 84.14平米 , 北 , 简装 , 有电梯,,高楼层(共34层)2013年建塔楼  ,  沙河堡
1683,距离4号线槐树店站578米,136万,单价20657元/平米,隆鑫九熙  , 2室1厅 , 65.84平米 , 西 , 精装,,,中楼层(共34层)2012年建塔楼  ,  万年场
1684,无,145万,单价11694元/平米,绿地国际花都三期  , 4室2厅 , 124平米 , 东北 , 其他 , 有电梯,,低楼层(共32层)2014年建板楼  ,  郫县城区
1685,无,270万,单价18527元/平米,万科五龙山九墅  , 3室2厅 , 145.74平米 , 西南 , 精装,,,中楼层(共6层)2013年建板塔结合  ,  毗河
1686,无,200万,单价14261元/平米,中铁塔米亚  , 4室2厅 , 140.25平米 , 西 , 其他,,,高楼层(共18层)2011年建板楼  ,  成外
1687,无,140万,单价15910元/平米,华邑阳光里  , 3室2厅 , 88平米 , 东南 , 其他 , 有电梯,,中楼层(共30层)2015年建板塔结合  ,  犀浦
1688,距离7号线东坡路站738米,140万,单价17225元/平米,学府春  , 2室2厅 , 81.28平米 , 北 , 简装 , 有电梯,,高楼层(共10层)2005年建板楼  ,  西南财大
1689,无,410万,单价20708元/平米,世纪欣园  , 4室2厅 , 198平米 , 南 , 其他 , 有电梯,,中楼层(共11层)2005年建板楼  ,  新会展
1690,无,412万,单价24988元/平米,华侨城天鹅堡  , 4室2厅 , 164.88平米 , 东 , 简装,,,低楼层(共30层)2012年建板塔结合  ,  华侨城
1691,距离1号线广都站280米,225万,单价17717元/平米,城南名著  , 3室2厅 , 127平米 , 北 , 其他 , 有电梯,,低楼层(共18层)2007年建板楼  ,  广都
1692,无,400万,单价16331元/平米,成都后花园二期  , 5室2厅 , 244.94平米 , 东南 西北 , 毛坯 , 有电梯,,中楼层(共12层)2011年建板楼  ,  成外
1693,无,157万,单价15906元/平米,金仙桥路17号  , 2室2厅 , 98.71平米 , 东 南 , 其他 , 无电梯,,低楼层(共7层)暂无数据  ,  花牌坊
1694,无,162万,单价18915元/平米,枫瑞苑  , 2室2厅 , 85.65平米 , 西 , 其他 , 有电梯,,中楼层(共11层)2009年建塔楼  ,  东郊记忆
1695,距离7号线崔家店站513米,215万,单价18218元/平米,天空城  , 3室2厅 , 118.02平米 , 东南 , 简装 , 有电梯,,高楼层(共21层)2010年建板楼  ,  万年场
1696,无,130万,单价13819元/平米,师大现代花园  , 2室2厅 , 94.08平米 , 西北 , 其他 , 有电梯,,低楼层(共32层)2013年建板楼  ,  大面
1697,距离7号线神仙树站441米,236万,单价16434元/平米,南方半岛花园  , 4室2厅 , 143.61平米 , 北 , 其他 , 无电梯,,高楼层(共6层)2000年建板塔结合  ,  新北
1698,距离4号线凤凰大街站575米,119万,单价13388元/平米,建信奥林匹克花园  , 2室2厅 , 88.89平米 , 西 , 精装,,,中楼层(共10层)2006年建板塔结合  ,  光华大道沿线
1699,距离4号线双桥路站1120米,142万,单价13827元/平米,五冶社区  , 3室2厅 , 102.7平米 , 南 北 , 简装 , 无电梯,,中楼层(共7层)1992年建板塔结合  ,  新华公园
1700,距离2号线白果林站345米,73万,单价14253元/平米,金琴路南一巷1号  , 2室1厅 , 51.22平米 , 东 , 其他,,,高楼层(共7层)1998年建板楼  ,  石人小区
1701,无,200万,单价16241元/平米,新禧苑  , 3室2厅 , 123.15平米 , 西南 , 其他 , 无电梯,,中楼层(共6层)2000年建板楼  ,  SM广场
1702,无,135万,单价14654元/平米,兴元绿洲一期  , 2室2厅 , 92.13平米 , 南 , 其他 , 有电梯,,高楼层(共22层)2007年建塔楼  ,  金府
